nom_fr,nom_latin,code_cim_10,description,gravite_echelle,prevalence,recommandation_triage,symptomes_courants_mots_cles,causes_mots_cles,facteurs_risque_mots_cles
Paludisme,Plasmodium falciparum,B50,"Maladie parasitaire transmise par les piqûres de moustiques Anopheles, provoquant fièvre, frissons et douleurs musculaires.",4,très commun,urgence,"Fièvre,Frissons,Douleurs musculaires,Maux de tête,Vomissements,Fatigue","parasite Plasmodium,piqûre nocturne de moustique Anopheles,exposition prolongée en zone humide","absence de moustiquaire imprégnée,séjour prolongé en zone endémique,immunité affaiblie"
Typhoïde,Salmonella typhi,A01.0,"Infection bactérienne transmise par l’eau ou les aliments contaminés, provoquant fièvre prolongée, douleurs abdominales et troubles digestifs.",3,commun,consultation rapide,"Fièvre,Douleurs abdominales,Diarrhée,Nausées,Fatigue,Maux de tête","bactérie Salmonella typhi,ingestion répétée d’eau souillée,consommation d’aliments mal cuits","hygiène domestique insuffisante,absence de vaccination,consommation régulière d’eau non traitée"
Tuberculose,Mycobacterium tuberculosis,A15,"Infection bactérienne chronique affectant principalement les poumons, transmissible par voie aérienne.",4,commun,consultation spécialisée,"Toux,Sueurs nocturnes,Perte de poids,Fièvre,Fatigue","bactérie Mycobacterium tuberculosis,inhalation répétée de gouttelettes contaminées,contact étroit avec un malade","vie en milieu clos surpeuplé,immunodépression sévère,malnutrition chronique"
Infections respiratoires aiguës,IRA,J06,"Ensemble d’infections affectant les voies respiratoires supérieures, souvent virales.",2,très commun,consultation,"Toux,Fièvre,Écoulement nasal,Maux de tête,Fatigue","virus respiratoires saisonniers,exposition directe à des personnes infectées,variation brutale de température","séjour prolongé en lieux fermés,contact fréquent avec enfants malades,absence de protection nasale"
Diarrhée aiguë,Diarrhoea acuta,A09,"Trouble digestif fréquent causé par des infections virales, bactériennes ou parasitaires.",2,très commun,consultation,"Diarrhée,Douleurs abdominales,Nausées,Vomissements,Fièvre","virus entériques,bactéries pathogènes,ingestion répétée d’aliments contaminés","hygiène alimentaire déficiente,absence d’eau potable,contact direct avec porteurs de germes"
Fièvre Dengue,Dengue virus,A90,"Maladie virale transmise par les moustiques, provoquant fièvre intense et douleurs articulaires sévères.",3,commun,consultation rapide,"Fièvre,Douleurs articulaires,Maux de tête,Éruptions cutanées,Fatigue","piqûres répétées de moustiques Aedes,virus dengue","absence de moustiquaire,exposition prolongée en zone urbaine humide"
Hépatite B,Hepatitis B virus,B18.1,"Infection virale chronique du foie pouvant évoluer vers une cirrhose ou un cancer hépatique.",4,commun,consultation spécialisée,"Fatigue,Jaunisse,Douleurs abdominales,Nausées","contact sanguin répété,virus hépatite B,transmission sexuelle","absence de vaccination,partage d’aiguilles,relations sexuelles non protégées"
Hépatite A,Hepatitis A virus,B15,"Infection virale aiguë du foie transmise par voie oro-fécale, souvent bénigne mais contagieuse.",2,commun,consultation,"Fièvre,Jaunisse,Nausées,Vomissements,Selles décolorées","ingestion d’eau ou aliments contaminés,virus hépatite A","hygiène alimentaire insuffisante,absence de vaccination,contact avec porteurs"
Gastro-entérite virale,Rotavirus/Norovirus,A08,"Inflammation de l’estomac et des intestins causée par des virus, fréquente chez les enfants.",2,très commun,consultation,"Diarrhée,Vomissements,Fièvre,Douleurs abdominales","virus entériques,contact direct avec personnes infectées","hygiène des mains déficiente,consommation d’aliments souillés,crèches surpeuplées"
Otite moyenne aiguë,Otitis media acuta,H66,"Infection de l’oreille moyenne, fréquente chez les enfants, causant douleurs et fièvre.",2,commun,consultation,"Douleur à l’oreille,Fièvre,Perte d’audition,Irritabilité","infection bactérienne ou virale,obstruction des voies respiratoires","environnement humide,antécédents d’infections respiratoires,âge jeune"
Bronchite aiguë,Bronchitis acuta,J20,"Inflammation des bronches souvent d’origine virale, causant toux et gêne respiratoire.",2,commun,consultation,"Toux,Fièvre,Essoufflement,Douleurs thoraciques","virus respiratoires,inhalation prolongée d’air polué","tabagisme passif,exposition à poussières,antécédents d’asthme"
Sinusite aiguë,Sinusitis acuta,J01,"Inflammation des sinus causant douleurs faciales et congestion nasale.",2,commun,consultation,"Maux de tête,Écoulement nasal,Fièvre,Douleur","infection virale ou bactérienne,obstruction nasale prolongée","allergies chroniques,exposition à pollution,antécédents ORL"
Pneumonie,Pneumonia,J18,"Infection pulmonaire grave causée par des bactéries ou virus, nécessitant une prise en charge rapide.",4,commun,urgence,"Fièvre,Toux,Essoufflement,Douleurs thoraciques","bactéries pathogènes,virus respiratoires,inhalation prolongée de germes","immunité affaiblie,âge extrême,malnutrition"
Méningite bactérienne,Meningitis bacterialis,G00,"Inflammation des méninges causée par des bactéries, potentiellement mortelle.",5,rare,urgence,"Fièvre,Raideur de la nuque,Vomissements,Photophobie,Confusion","bactéries invasives,contact étroit avec porteurs","absence de vaccination,lieux surpeuplés,immunodépression"
VIH/SIDA,Human Immunodeficiency Virus,B24,"Infection virale chronique affectant le système immunitaire, évoluant vers le SIDA sans traitement.",5,commun,consultation spécialisée,"Perte de poids,Fièvre,Fatigue","transmission sexuelle,contact sanguin répété,virus VIH","relations non protégées,partage de seringues,absence de dépistage"
Cystite,Cystitis,N30,"Inflammation de la vessie souvent causée par une infection urinaire, fréquente chez les femmes.",2,commun,consultation,"Brûlures urinaires,Douleur pelvienne,Besoin fréquent d’uriner,Urines troubles","bactéries intestinales,hygiène intime insuffisante","rapports sexuels fréquents,utilisation de produits irritants,hydratation insuffisante"
Dermatite atopique,Dermatitis atopica,L20,"Affection cutanée chronique provoquant démangeaisons et lésions, souvent liée aux allergies.",2,commun,consultation,"Démangeaisons,Éruptions cutanées,Sécheresse cutanée,Lésions cutanées","réaction allergique,barrière cutanée altérée","antécédents familiaux,exposition à allergènes,stress chronique"
Scabiose (gale),Sarcoptes scabiei,B86,"Infestation parasitaire de la peau causant des démangeaisons nocturnes et lésions cutanées.",2,commun,consultation,"Démangeaisons,Lésions cutanées,Rougeurs cutanées","parasite Sarcoptes scabiei,contact prolongé avec personnes infestées","promiscuité,hygiène corporelle insuffisante,logement surpeuplé"
Herpès buccal,Herpes simplex virus type 1,B00.1,"Infection virale causant des lésions douloureuses autour de la bouche.",2,commun,consultation,"Plaies cutanées,Sensation de brûlure,Fièvre","virus HSV-1,contact direct avec lésions actives","stress,immunité affaiblie,exposition au soleil"
Varicelle,Varicella zoster virus,B01,"Maladie virale infantile très contagieuse causant des éruptions cutanées et fièvre.",2,commun,consultation,"Fièvre,Éruptions cutanées,Démangeaisons,Perte d’appétit","virus varicelle,contact direct avec personnes infectées","absence de vaccination,fréquentation scolaire,immunité naïve"
Rougeole,Measles virus,B05,"Maladie virale très contagieuse provoquant fièvre, éruptions et complications respiratoires.",3,commun,urgence,"Fièvre,Toux,Éruptions cutanées,Yeux rouges","virus rougeole,transmission aérienne","absence de vaccination,contact scolaire,malnutrition"
Oreillons,Mumps virus,B26,"Infection virale causant une inflammation des glandes salivaires, souvent bénigne mais contagieuse.",2,commun,consultation,"Douleur à la mâchoire,Fièvre,Gonflement,Perte d’appétit","virus oreillons,contact direct avec porteurs","absence de vaccination,fréquentation scolaire,immunité faible"
Tétanos,Clostridium tetani,A35,"Infection bactérienne grave provoquant des spasmes musculaires, souvent liée à des plaies souillées.",5,rare,urgence,"Raideur musculaire,Spasmes,Fièvre,Blocage de la mâchoire","bactérie Clostridium tetani,contamination de plaies profondes","absence de vaccination,plaies non désinfectées,travail manuel en milieu rural"
Intoxication alimentaire,Food poisoning,T62,"Trouble digestif aigu causé par ingestion d’aliments contaminés.",2,commun,consultation,"Vomissements,Diarrhée,Douleurs abdominales,Fièvre","toxines bactériennes,consommation d’aliments mal conservés","hygiène alimentaire déficiente,absence de chaîne du froid,consommation de rue"
Ankylostomiase,Ancylostoma duodenale,B76,"Infection parasitaire intestinale causant anémie et troubles digestifs.",3,commun,consultation,"Fatigue,Diarrhée,Perte d’appétit,Anémie","parasite Ancylostoma,contact avec sol contaminé","absence de chaussures,sols souillés,hygiène environnementale précaire"
Amibiase,Entamoeba histolytica,A06,"Infection parasitaire intestinale provoquant diarrhée sanglante et douleurs abdominales.",3,commun,consultation,"Diarrhée,Douleurs abdominales,Fièvre,Nausées","parasite Entamoeba histolytica,ingestion répétée d’eau souillée","hygiène alimentaire déficiente,absence de traitement de l’eau,contact avec porteurs"
Filariose,Wuchereria bancrofti,B74,"Maladie parasitaire chronique transmise par les moustiques, causant œdèmes et inflammation lymphatique.",3,commun,consultation spécialisée,"Gonflement des membres,Fièvre,Douleurs articulaires,Lésions cutanées","parasite filaire,piqûres nocturnes de moustiques","séjour prolongé en zone endémique,absence de traitement antiparasitaire,exposition nocturne"
Onchocercose,Onchocerca volvulus,B73,"Infection parasitaire chronique causant lésions cutanées et troubles oculaires.",3,commun,consultation spécialisée,"Démangeaisons,Nodules,Troubles visuels,Perte de vision","parasite Onchocerca,piqûres répétées de simulies","vie en zone fluviale,absence de traitement,exposition prolongée"
Trichinose,Trichinella spiralis,B75,"Infection parasitaire due à la consommation de viande contaminée, provoquant douleurs musculaires et fièvre.",3,rare,consultation,"Douleurs musculaires,Fièvre,Diarrhée,Vomissements","parasite Trichinella,consommation de viande insuffisamment cuite","absence de contrôle sanitaire,consommation régulière de porc local,hygiène alimentaire précaire"
Leishmaniose cutanée,Leishmania tropica,B55.1,"Infection parasitaire de la peau causant ulcères et lésions chroniques.",3,rare,consultation spécialisée,"Ulcères cutanés,Douleur,Fièvre","parasite Leishmania,piqûres répétées de phlébotomes","séjour en zone rurale,absence de moustiquaire,contact avec animaux infectés"
Chikungunya,Chikungunya virus,A92.0,"Maladie virale transmise par les moustiques, provoquant fièvre élevée et douleurs articulaires sévères.",3,commun,consultation,"Fièvre,Douleurs articulaires,Éruptions cutanées,Fatigue","virus Chikungunya,piqûres diurnes de moustiques Aedes","absence de protection,exposition prolongée en zone urbaine humide"
Zika,Zika virus,A92.8,"Infection virale souvent bénigne mais dangereuse chez la femme enceinte, transmise par les moustiques.",2,commun,consultation,"Fièvre,Éruptions cutanées,Yeux rouges,Douleurs musculaires","virus Zika,piqûres de moustiques Aedes","grossesse,absence de moustiquaire,exposition en zone humide"
Syphilis,Treponema pallidum,A53,"Infection sexuellement transmissible évoluant en plusieurs phases, pouvant affecter plusieurs organes.",3,commun,consultation spécialisée,"Plaies cutanées,Éruptions cutanées,Fièvre,Fatigue","bactérie Treponema pallidum,relations sexuelles non protégées","absence de dépistage,partenaires multiples,non-utilisation de préservatif"
Gonorrhée,Neisseria gonorrhoeae,A54,"Infection sexuellement transmissible causant douleurs urinaires et écoulements purulents.",2,commun,consultation,"Brûlures urinaires,Écoulement urétral,Fièvre,Douleur pelvienne","bactérie Neisseria gonorrhoeae,contact sexuel direct","absence de protection,partenaires multiples,absence de dépistage"
Candidose génitale,Candida albicans,B37.3,"Infection fongique des organes génitaux causant démangeaisons et pertes blanchâtres.",2,commun,consultation,"Démangeaisons,Écoulement vaginal anormal,Irritation,Brûlures urinaires","champignon Candida albicans,déséquilibre de la flore","antibiothérapie prolongée,hygiène intime excessive,diabète"
Ulcère de Buruli,Mycobacterium ulcerans,A31.1,"Infection bactérienne chronique de la peau causant ulcères profonds et déformations.",4,rare,consultation spécialisée,"Ulcères cutanés,Gonflement,Perte de tissu","bactérie Mycobacterium ulcerans,contact prolongé avec eaux stagnantes","vie en zone rurale humide,absence de soins précoces,exposition à marécages"
Drépanocytose,Sickle cell disease,D57,"Maladie génétique du sang provoquant douleurs, anémie et complications vasculaires.",4,commun,consultation spécialisée,"Douleur,Anémie,Fièvre,Essoufflement","mutation génétique,globules rouges falciformes","hérédité,stress physique,exposition au froid"
Asthme bronchique,Asthma bronchiale,J45,"Maladie respiratoire chronique causant crises de gêne respiratoire et toux.",3,commun,consultation spécialisée,"Toux,Essoufflement,Sifflements respiratoires,Oppression thoracique","inflammation des bronches,réaction allergique","pollution atmosphérique,antécédents familiaux,exposition à allergènes"
Rhume allergique,Rhinitis allergica,J30,"Inflammation nasale causée par une réaction allergique, souvent saisonnière.",2,commun,consultation,"Éternuements fréquents,Écoulement nasal,Démangeaisons,Larmoiement excessif","allergènes inhalés,pollen,poussière","antécédents d’allergie,climat sec,absence de protection nasale"
Insuffisance rénale chronique,Renal failure chronic,N18,"Dégradation progressive de la fonction rénale, souvent liée à hypertension ou diabète.",4,commun,consultation spécialisée,"Fatigue,Œdèmes,Nausées,Hypertension","lésions rénales chroniques,diabète non contrôlé","hypertension prolongée,prise excessive de médicaments,diabète mal géré"
Insuffisance cardiaque,Heart failure,I50,"Défaillance du cœur à pomper efficacement le sang, causant fatigue et œdèmes.",4,commun,consultation spécialisée,"Essoufflement,Œdèmes,Fatigue,Palpitations","maladie cardiaque chronique,hypertension prolongée","âge avancé,antécédents cardiovasculaires,diabète"
Hypothyroïdie,Hypothyreosis,E03,"Trouble hormonal causé par une production insuffisante d’hormones thyroïdiennes.",3,commun,consultation spécialisée,"Fatigue,Prise de poids,Constipation,Dépression","dysfunction thyroïdienne,carence en iode","antécédents familiaux,carence nutritionnelle,traitement antérieur de la thyroïde"
Hyperthyroïdie,Hyperthyreosis,E05,"Trouble hormonal causé par une production excessive d’hormones thyroïdiennes.",3,commun,consultation spécialisée,"Perte de poids,Tachycardie,Sueurs nocturnes,Irritabilité","hyperactivité thyroïdienne,maladie auto-immune","stress chronique,antécédents familiaux,consommation excessive d’iode"
Abcès cutané,Abscessus cutaneus,L02,"Accumulation de pus sous la peau causée par une infection bactérienne locale.",2,commun,consultation,"Douleur localisée,Gonflement,Fièvre,Plaies cutanées","infection bactérienne,traumatisme cutané","hygiène corporelle insuffisante,grattage excessif,diabète"
Pied d’athlète,Tinea pedis,B35.3,"Infection fongique des pieds causant démangeaisons et desquamation.",1,commun,consultation,"Démangeaisons,Peau sèche,Rougeurs cutanées,Desquamation","champignons dermatophytes,humidité prolongée","port de chaussures fermées,transpiration excessive,douches publiques"
Abcès dentaire,Abscessus dentalis,K04.6,"Infection bactérienne de la racine dentaire causant douleur intense et gonflement.",3,commun,consultation,"Douleur,Gonflement,Fièvre,Mauvaise haleine","infection bactérienne,carie non traitée","hygiène bucco-dentaire insuffisante,absence de soins dentaires,consommation excessive de sucre"
Calculs urinaires,Urolithiasis,N20,"Formation de cristaux dans les voies urinaires causant douleurs et troubles urinaires.",3,commun,consultation spécialisée,"Douleur lombaire,Brûlures urinaires,Urines sanglantes,Nausées","accumulation de sels minéraux,déshydratation chronique","faible consommation d’eau,alimentation riche en sel,antécédents familiaux"
Calculs biliaires,Cholelithiasis,K80,"Formation de pierres dans la vésicule biliaire causant douleurs abdominales et troubles digestifs.",3,commun,consultation spécialisée,"Douleurs abdominales,Nausées,Vomissements,Fièvre","cholestérol élevé,bile concentrée","alimentation riche en graisses,obésité,jeûne prolongé"
Colite infectieuse,Colitis infectiosa,A09.0,"Inflammation du côlon causée par une infection bactérienne ou parasitaire.",3,commun,consultation,"Diarrhée,Douleurs abdominales,Fièvre,Selles sanglantes","bactéries pathogènes,parasites intestinaux","consommation d’aliments contaminés,hygiène alimentaire déficiente,absence de traitement de l’eau"
Colique néphrétique,Renal colic,N23,"Douleur aiguë causée par le déplacement de calculs dans les voies urinaires.",4,commun,urgence,"Douleur lombaire,Nausées,Vomissements,Urines troubles","calculs urinaires,migration de cristaux","déshydratation prolongée,antécédents de lithiases,alimentation riche en oxalates"
Conjonctivite allergique,Conjunctivitis allergica,H10.1,"Inflammation oculaire causée par une réaction allergique.",2,commun,consultation,"Yeux rouges,Démangeaisons,Larmoiement excessif,Gonflement","exposition à allergènes,pollen,poussière","antécédents d’allergie,climat sec,contact avec irritants"
Coup de chaleur,Hyperthermia,T67.0,"Élévation excessive de la température corporelle causée par une exposition prolongée à la chaleur.",4,commun,urgence,"Fièvre,Confusion,Douleurs musculaires,Sueurs nocturnes","exposition prolongée au soleil,effort physique intense","absence d’hydratation,travail en extérieur,port de vêtements épais"
Déshydratation,Dehydration,E86,"Perte excessive de liquides corporels causant fatigue et troubles organiques.",3,commun,consultation,"Soif intense,Urines foncées,Étourdissements,Fatigue","perte de liquides,diarrhée,vomissements","climat chaud,activité physique intense,absence d’apport hydrique"
Épilepsie,Epilepsia,G40,"Trouble neurologique causant des crises convulsives récurrentes.",4,commun,consultation spécialisée,"Perte de connaissance,Convulsions,Tremblements,Confusion","activité électrique cérébrale anormale,prédisposition génétique","antécédents familiaux,traumatisme crânien,infections cérébrales"
Fièvre typhoïde,Salmonella typhi,A01.0,"Infection bactérienne transmise par l’eau ou les aliments contaminés.",3,commun,consultation rapide,"Fièvre,Douleurs abdominales,Diarrhée,Nausées","bactérie Salmonella typhi,eau souillée","hygiène alimentaire déficiente,absence de vaccination,contact avec porteurs"
Gale,Sarcoptes scabiei,B86,"Infestation cutanée causée par un acarien, provoquant démangeaisons nocturnes.",2,commun,consultation,"Démangeaisons,Lésions cutanées,Rougeurs cutanées","parasite Sarcoptes scabiei,contact prolongé","promiscuité,hygiène corporelle insuffisante,logement surpeuplé"
Grippe,Influenza virus,J10,"Infection virale saisonnière causant fièvre, toux et fatigue.",2,commun,consultation,"Fièvre,Toux,Fatigue,Maux de tête","virus influenza,transmission aérienne","contact avec personnes infectées,absence de vaccination,saison sèche"
Hernie inguinale,Hernia inguinalis,K40,"Protrusion d’un organe à travers la paroi abdominale, causant douleur et gêne.",3,commun,consultation spécialisée,"Douleur,Gonflement,Douleur","faiblesse musculaire,effort physique intense","port de charges lourdes,obésité,antécédents familiaux"
Hypercholestérolémie,Hypercholesterolaemia,E78.0,"Excès de cholestérol dans le sang augmentant le risque cardiovasculaire.",3,commun,consultation spécialisée,"Douleurs thoraciques,Fatigue","alimentation riche en graisses,prédisposition génétique","sédentarité,obésité,absence de suivi médical"
Hypoglycémie,Hypoglycaemia,E16.2,"Baisse excessive du taux de sucre dans le sang causant malaise et confusion.",3,commun,urgence,"Tremblements,Sueurs nocturnes,Confusion,Perte de connaissance","jeûne prolongé,traitement antidiabétique excessif","diabète,activité physique intense,alimentation irrégulière"
Infection urinaire,Urinary tract infection,N39.0,"Infection bactérienne des voies urinaires causant douleurs et troubles urinaires.",2,très commun,consultation,"Brûlures urinaires,Besoin fréquent d’uriner,Urines troubles,Douleur pelvienne","bactéries intestinales,hygiène intime insuffisante","rapports sexuels fréquents,hydratation insuffisante,diabète"
Insomnie,Insomnia,F51.0,"Trouble du sommeil causant fatigue et irritabilité diurne.",2,commun,consultation,"Troubles du sommeil,Fatigue,Irritabilité","stress chronique,anxiété,hygiène du sommeil altérée","travail de nuit,consommation de stimulants,problèmes psychologiques"
Intoxication médicamenteuse,Drug poisoning,T50,"Effets toxiques dus à une prise excessive ou inappropriée de médicaments.",4,commun,urgence,"Nausées,Vomissements,Confusion,Palpitations","surdosage médicamenteux,automédication","absence de suivi médical,stockage non sécurisé,accès libre aux médicaments"
Lombalgie,Lumbago,M54.5,"Douleur dans le bas du dos causée par une tension musculaire ou une pathologie vertébrale.",2,très commun,consultation,"Douleur lombaire,Raideur,Raideur,Fatigue musculaire","effort physique excessif,posture prolongée","travail manuel,absence d’activité physique,obésité"
Malaria grave,Plasmodium falciparum,B50.9,"Forme sévère du paludisme avec complications neurologiques ou rénales.",5,commun,urgence,"Fièvre,Convulsions,Confusion,Rétention urinaire","parasite Plasmodium,piqûres nocturnes de moustiques","absence de traitement précoce,immunité faible,séjour prolongé en zone endémique"
Migraine,Migraina,G43,"Céphalée intense souvent accompagnée de nausées et sensibilité à la lumière.",3,commun,consultation,"Maux de tête,Nausées,Photophobie,Fatigue","facteurs neurologiques,stress,alimentation","antécédents familiaux,manque de sommeil,consommation de caféine"
Mycose vaginale,Candidiasis vaginalis,B37.3,"Infection fongique du vagin causant démangeaisons et pertes blanchâtres.",2,commun,consultation,"Démangeaisons,Écoulement vaginal anormal,Irritation,Brûlures urinaires","champignon Candida albicans,déséquilibre de la flore","antibiothérapie prolongée,hygiène intime excessive,diabète"
Otite externe,Otitis externa,H60,"Inflammation du conduit auditif externe causée par humidité ou infection.",2,commun,consultation,"Douleur à l’oreille,Fièvre,Démangeaisons","bactéries,fongus,humidité prolongée","bains fréquents,grattage du conduit,absence de séchage"
Panaris,Panaritium,L03.0,"Infection douloureuse du doigt causée par une bactérie, souvent après une blessure.",2,commun,consultation,"Douleur,Gonflement,Fièvre","bactérie Staphylococcus aureus,blessure non désinfectée","manipulation d’objets souillés,absence de soins locaux,diabète"
Pityriasis versicolor,Malassezia furfur,B36.0,"Infection fongique de la peau causant des taches décolorées.",1,commun,consultation,"Taches cutanées,Démangeaisons,Desquamation","champignon Malassezia,transpiration excessive","climat chaud,port de vêtements serrés,hygiène insuffisante"
Prostatite,Prostatitis,N41,"Inflammation de la prostate causant douleurs et troubles urinaires.",3,commun,consultation spécialisée,"Douleur pelvienne,Brûlures urinaires,Fièvre,Besoin fréquent d’uriner","infection bactérienne,stase urinaire","vieillissement,antécédents urinaires,activité sexuelle irrégulière"
Rage,Rabies,A82,"Infection virale mortelle transmise par morsure d’animal infecté.",5,rare,urgence,"Fièvre,Hydrophobie,Agitation,Troubles neurologiques","virus rabique,morsure d’animal","absence de vaccination,contact avec animaux errants,retard de soins"
Rhinite infectieuse,Rhinitis infectiosa,J00,"Inflammation nasale causée par une infection virale ou bactérienne.",2,très commun,consultation,"Éternuements fréquents,Écoulement nasal,Fièvre,Maux de gorge","virus respiratoires,bactéries","contact avec personnes infectées,climat sec,absence de protection nasale"
Abcès hépatique,Abscessus hepatis,K75.0,"Accumulation de pus dans le foie causée par une infection bactérienne ou parasitaire.",4,rare,consultation spécialisée,"Fièvre,Douleurs abdominales,Nausées,Vomissements","infection bactérienne ou parasitaire,propagation depuis intestins","amibiase non traitée,immunodépression,hygiène alimentaire déficiente"
Acné vulgaire,Acne vulgaris,L70,"Affection cutanée fréquente causée par l’inflammation des glandes sébacées.",1,très commun,consultation,"Boutons,Points noirs,Inflammation cutanée,Douleur","sébum excessif,bactéries cutanées","puberté,stress,alimentation grasse"
Angine bactérienne,Tonsillitis bacterialis,J03,"Inflammation des amygdales causée par une infection bactérienne.",2,commun,consultation,"Maux de gorge,Fièvre,Difficulté à avaler,Gonflement des ganglions","bactérie Streptococcus,contact direct","promiscuité,absence de traitement précoce,immunité faible"
Arthrite infectieuse,Arthritis infectiosa,M00,"Inflammation articulaire causée par une infection bactérienne ou virale.",3,rare,consultation spécialisée,"Douleurs articulaires,Fièvre,Gonflement,Raideur","infection bactérienne,propagation sanguine","traumatisme articulaire,immunodépression,infection systémique"
Bilharziose,Schistosoma haematobium,B65,"Infection parasitaire chronique causée par des vers présents dans l’eau douce.",3,commun,consultation spécialisée,"Sang dans les urines,Douleurs abdominales,Fatigue,Fièvre","parasite Schistosoma,contact prolongé avec eaux stagnantes","absence de traitement antiparasitaire,baignade en zone contaminée,hygiène environnementale précaire"
Brûlure thermique,Burns,T20,"Lésion cutanée causée par exposition à une source de chaleur.",3,commun,urgence,"Douleur,Rougeurs cutanées,Cloques,Perte de peau","contact direct avec feu ou liquide chaud,exposition prolongée","absence de protection,accidents domestiques,travail en cuisine"
Cancer du col de l’utérus,Cervical cancer,C53,"Tumeur maligne du col utérin souvent liée au papillomavirus.",5,commun,consultation spécialisée,"Saignements anormaux,Douleur pelvienne,Écoulement vaginal anormal,Fatigue","infection HPV persistante,mutation cellulaire","absence de dépistage,relations sexuelles précoces,immunodépression"
Cancer du sein,Breast cancer,C50,"Tumeur maligne du sein, fréquente chez les femmes adultes.",5,commun,consultation spécialisée,"Masse mammaire,Douleur mammaire,Rougeurs cutanées","mutation génétique,prolifération cellulaire","antécédents familiaux,âge avancé,absence de dépistage"
Choléra,Cholera,A00,"Infection bactérienne aiguë causant diarrhée sévère et déshydratation rapide.",5,commun,urgence,"Diarrhée,Vomissements,Soif intense,Crampes musculaires","bactérie Vibrio cholerae,ingestion d’eau souillée","absence d’eau potable,hygiène alimentaire déficiente,contact avec porteurs"
Coqueluche,Pertussis,A37,"Infection bactérienne respiratoire causant toux sévère et difficultés respiratoires.",3,commun,consultation,"Toux,Fièvre,Vomissements,Fatigue","bactérie Bordetella pertussis,transmission aérienne","absence de vaccination,contact scolaire,immunité faible"
Coxsackie (main-pied-bouche),Coxsackie virus,B08.4,"Infection virale infantile causant lésions cutanées et fièvre.",2,commun,consultation,"Fièvre,Plaies cutanées,Plaies cutanées,Fatigue","virus Coxsackie,contact direct","crèches surpeuplées,absence d’hygiène des mains,immunité naïve"
Dysenterie bacillaire,Shigella dysenteriae,A03,"Infection intestinale causant diarrhée sanglante et douleurs abdominales.",4,commun,consultation rapide,"Diarrhée,Douleurs abdominales,Fièvre,Nausées","bactérie Shigella,ingestion d’aliments souillés","hygiène alimentaire déficiente,absence de traitement de l’eau,contact avec porteurs"
Encéphalite virale,Viral encephalitis,A86,"Inflammation du cerveau causée par une infection virale, potentiellement grave.",5,rare,urgence,"Fièvre,Confusion,Troubles neurologiques,Convulsions","virus neurotrope,propagation sanguine","absence de vaccination,immunodépression,contact avec porteurs"
Endométriose,Endometriosis,N80,"Affection gynécologique chronique causant douleurs pelviennes et infertilité.",3,commun,consultation spécialisée,"Douleur menstruelle,Saignements anormaux,Fatigue,Douleur pendant les rapports","migration de tissu endométrial,réaction inflammatoire","antécédents familiaux,retard de diagnostic,stress chronique"
Érythème infectieux,Parvovirus B19,B08.3,"Infection virale infantile causant rougeurs faciales et fièvre légère.",2,commun,consultation,"Rougeurs cutanées,Fièvre,Fatigue,Éruptions cutanées","virus Parvovirus B19,contact direct","crèches surpeuplées,absence de vaccination,immunité naïve"
Furoncle,Furunculus,L02.1,"Infection bactérienne profonde du follicule pileux causant douleur et pus.",2,commun,consultation,"Douleur,Gonflement,Fièvre","bactérie Staphylococcus aureus,traumatisme cutané","hygiène corporelle insuffisante,grattage excessif,diabète"
Glaucome,Glaucoma,H40,"Maladie oculaire chronique causant perte progressive de la vision.",4,commun,consultation spécialisée,"Troubles visuels,Douleur oculaire,Perte de vision,Yeux rouges","pression intraoculaire élevée,dégénérescence du nerf optique","âge avancé,antécédents familiaux,hypertension"
Hémorroïdes,Hemorrhoids,I84,"Dilations veineuses anales causant douleurs et saignements.",2,très commun,consultation,"Douleur,Saignements anormaux,Démangeaisons,Gonflement","pression abdominale,effort de poussée","constipation chronique,alimentation pauvre en fibres,position assise prolongée"
Hépatite C,Hepatitis C virus,B18.2,"Infection virale chronique du foie pouvant évoluer vers une cirrhose.",4,commun,consultation spécialisée,"Fatigue,Jaunisse,Douleurs abdominales,Nausées","contact sanguin répété,virus hépatite C,transmission sexuelle","absence de dépistage,partage d’aiguilles,relations sexuelles non protégées"
